Date,Player,Player ID,Team,Positions,Status,Roster Status,Change,Game
Sep 23,K'Lavon Chaisson,32690,Was,"LB,DE",,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Javon Kinlaw,32684,Was,DT,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Jerry Jeudy,32685,Cle,WR,,FA,Off Injured Reserve,Sun 1:00 pm vs Car
Sep 23,A.J. Terrell Jr.,32686,Atl,CB,IR,FA,Off Injured Reserve,Thu 8:15 pm @ GB
Sep 23,Chase Young,32672,NO,"DL,DE",Q,FA,Off Injured Reserve,Sun 4:25 pm vs LV
Sep 23,Joe Burrow,32671,Cin,QB,,Locked In Michelle,Off Injured Reserve,Sun 1:00 pm @ Pit
Sep 23,Ashton Dulin,32292,Ind,WR,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Hou
Sep 23,Jakobi Meyers,32231,Jax,WR,Q,Locked In Michelle,Off Injured Reserve,Sun 1:00 pm vs NE
Sep 23,Ty Johnson,32018,Buf,RB,,FA,Off Injured Reserve,Sun 1:00 pm vs LAC
Sep 23,Blake Cashman,31989,Min,LB,,FA,Off Injured Reserve,Sun 4:05 pm @ TB
Sep 23,Charles Omenihu,31993,Was,DE,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Dre Greenlaw,31980,SF,LB,,FA,Off Injured Reserve,Sun 4:05 pm vs Ari
Sep 23,Andrew Van Ginkel,31983,Min,"LB,DE",,FA,Off Injured Reserve,Sun 4:05 pm @ TB
Sep 23,Dre'Mont Jones,31903,NE,"LB,DE",Q,FA,Off Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Hollywood Brown,31857,Phi,WR,,FA,Off Injured Reserve,Mon 8:15 pm @ Chi
Sep 23,Dexter Lawrence II,31849,Cin,"DL,DT",,FA,Off Injured Reserve,Sun 1:00 pm @ Pit
Sep 23,Ed Oliver,31841,Buf,DT,Q,FA,Off Injured Reserve,Sun 1:00 pm vs LAC
Sep 23,Kyler Murray,31833,Min,QB,,FA,Off Injured Reserve,Sun 4:05 pm @ TB
Sep 23,Nick Bosa,31834,SF,"DL,DE",,FA,Off Injured Reserve,Sun 4:05 pm vs Ari
Sep 23,Robert Spillane,31708,NE,LB,,FA,Off Injured Reserve,Sun 1:00 pm @ Jax
Sep 23,Frankie Luvu,31503,Was,LB,Q,FA,Off Injured Reserve,Sun 1:00 pm vs Sea
Sep 23,Eddy Pineiro,31482,SF,K,,Maybe Mitchell,Off Injured Reserve,Sun 4:05 pm vs Ari
