Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Dylan Sampson,41907,Cle,RB,IR,Knee,N,Sun 1:00 pm vs Car
J. Michael Gyllenborg,43116,KC,TE,IR,Knee,N,Sun 1:00 pm @ Mia
Jeremiah Webb,42437,NE,WR,IR,Arm,N,Sun 1:00 pm @ Jax
Jayden Higgins,41819,Hou,WR,IR,Knee - ACL,N,Sun 1:00 pm @ Ind
Thomas Yassmin,41397,GB,TE,IR,Undisclosed,N,Thu 8:15 pm vs Atl
Ben Yurosek,42434,Min,TE,IR,Undisclosed,N,Sun 4:05 pm @ TB
Trey Sermon,33476,Atl,RB,IR,Undisclosed,N,Thu 8:15 pm @ GB
Malik Davis,34610,Dal,RB,IR,Hip,N,Sun 4:25 pm vs Bal
Jeff Caldwell,42880,KC,WR,IR,Knee,N,Sun 1:00 pm @ Mia
Cole Burgess,41502,Pit,WR,IR,Undisclosed,N,Sun 1:00 pm vs Cin
KeAndre Lambert-Smith,41944,LAC,WR,IR,Hamstring,N,Sun 1:00 pm @ Buf
Jake Bobo,40452,Sea,WR,IR,Knee,N,Sun 1:00 pm @ Was
A.J. Brown,31883,NE,WR,IR,Ankle,N,Sun 1:00 pm @ Jax
Matthew Caldwell,42901,LAR,QB,IR,Undisclosed,N,Sun 8:20 pm @ Den
Jimmy Holiday,42490,KC,WR,IR,Undisclosed,N,Sun 1:00 pm @ Mia
Arian Smith,41896,NYJ,WR,IR,Knee - ACL,Y,Sun 1:00 pm @ Det
Robbie Ouzts,41961,Sea,"RB,TE",IR,Neck,N,Sun 1:00 pm @ Was
Jonathon Brooks,40926,Car,RB,IR,Abdomen,Y,Sun 1:00 pm @ Cle
Eli Stowers,42676,Phi,TE,IR,Hamstring,N,Mon 8:15 pm @ Chi
Ronnie Rivers,34310,LAR,RB,IR,Calf,Y,Sun 8:20 pm @ Den
Nikola Kalinic,33950,Chi,TE,IR,Knee,N,Mon 8:15 pm vs Phi
Tim Patrick,30511,NYJ,WR,IR,Groin,N,Sun 1:00 pm @ Det
Brittain Brown,34206,Chi,RB,IR,Undisclosed,N,Mon 8:15 pm vs Phi
Skylar Thompson,34203,Bal,QB,IR,Undisclosed,N,Sun 4:25 pm @ Dal
Ja'Kobi Lane,42702,Bal,WR,IR,Wrist,N,Sun 4:25 pm @ Dal
Chris Brazzell II,42705,Car,WR,IR,Knee,N,Sun 1:00 pm @ Cle
Trey Benson,40958,Ari,RB,IR,Knee,N,Sun 4:05 pm @ SF
DJ Rogers,43055,Dal,TE,IR,Knee,N,Sun 4:25 pm vs Bal
Jordan Mason,34320,Min,RB,IR,Thumb,N,Sun 4:05 pm @ TB
Ricky Pearsall,40892,SF,WR,IR,Knee - PCL,N,Sun 4:05 pm vs Ari
Hayden Large,43027,Chi,TE,IR,Undisclosed,N,Mon 8:15 pm vs Phi
Ty Chandler,34125,NO,RB,IR,Knee,N,Sun 4:25 pm vs LV
Princeton Fant,40778,Dal,TE,IR,Knee - ACL + MCL,N,Sun 4:25 pm vs Bal
Cole Turner,34105,Mia,TE,IR,Undisclosed,N,Sun 1:00 pm vs KC
David Njoku,30142,LAC,TE,IR,Lower Leg,Y,Sun 1:00 pm @ Buf
Julian Hill,40629,NE,TE,IR,Knee,N,Sun 1:00 pm @ Jax
Calvin Austin III,34094,NYG,WR,IR,Knee,N,Sun 1:00 pm vs Ten
Kendrick Law,42798,Det,WR,IR,Knee - ACL,N,Sun 1:00 pm vs NYJ
De'Zhaun Stribling,42655,SF,WR,IR,Ankle,N,Sun 4:05 pm vs Ari
Isiah Pacheco,34207,Det,RB,IR,Back,N,Sun 1:00 pm vs NYJ
Gunner Olszewski,32612,NYG,WR,IR,Achilles,N,Sun 1:00 pm vs Ten
D.J. Montgomery,32283,Ind,WR,IR,Abdomen,N,Sun 1:00 pm vs Hou
Johnny Wilson,41089,Phi,WR,IR,Knee,N,Mon 8:15 pm @ Chi
Omar Cooper Jr.,42652,NYJ,WR,IR,Ankle,N,Sun 1:00 pm @ Det
Graham Mertz,41975,Hou,QB,IR,Knee - ACL,N,Sun 1:00 pm @ Ind
Carson Towt,42620,Ind,TE,IR,Undisclosed,N,Sun 1:00 pm vs Hou
Chip Trayanum,43213,NYJ,RB,IR,Neck,N,Sun 1:00 pm @ Det
Jameson Geers,43212,Ari,TE,IR,Undisclosed,N,Sun 4:05 pm @ SF
Jaren Kanak,42847,Ten,TE,IR,Pectoral,N,Sun 1:00 pm @ NYG
Corey Rucker,43248,LV,WR,IR,Undisclosed,N,Sun 4:25 pm @ NO
Justin Shorter,40167,LV,"WR,TE",IR,Undisclosed,N,Sun 4:25 pm @ NO
Dont'e Thornton Jr.,41892,LV,WR,IR,Undisclosed,N,Sun 4:25 pm @ NO
Jake Tonges,34374,SF,TE,IR,Knee - MCL,N,Sun 4:05 pm vs Ari
Chris Collier,41261,LV,RB,IR,Undisclosed,N,Sun 4:25 pm @ NO
Moliki Matavao,42006,NO,TE,IR,Knee,N,Sun 4:25 pm vs LV
Dallas Goedert,31019,Phi,TE,D,Knee - MCL,N,Mon 8:15 pm @ Chi
Mason Taylor,41827,NYJ,TE,D,Thumb,Y,Sun 1:00 pm @ Det
Caleb Williams,40900,Chi,QB,D,Hamstring,Y,Mon 8:15 pm vs Phi
Josh Jacobs,31856,GB,RB,CEL,Personal,N,Thu 8:15 pm vs Atl
