Player,Player ID,Team,Positions,Status,Injury Type,New Player Note,Game
Kareem Hunt,30199,KC,RB,NA,,N,Sun 1:00 pm @ Mia
Anthony Firkser,30571,Det,TE,NA,Leg,N,Sun 1:00 pm vs NYJ
Grant Finley,43473,NYG,RB,NA,,N,Sun 1:00 pm vs Ten
Tyreek Hill,29399,Mia,WR,NA,Knee - ACL,N,Sun 1:00 pm vs KC
Brandon Allen,29435,NYG,QB,NA,,N,Sun 1:00 pm vs Ten
Jeff Driskel,29441,Was,QB,NA,,N,Sun 1:00 pm vs Sea
Matthew Henry,43615,TB,WR,NA,,N,Sun 4:05 pm vs Min
Alex Tecza,43609,Pit,RB,NA,,N,Sun 1:00 pm vs Cin
Barika Kpeenu,43482,TB,RB,NA,,N,Sun 4:05 pm vs Min
Justin Jones,43478,Sea,RB,NA,,N,Sun 1:00 pm @ Was
Connor Hulstein,43471,NYJ,TE,NA,Undisclosed,N,Sun 1:00 pm @ Det
Tyler Moore,43464,Ind,TE,NA,,N,Sun 1:00 pm vs Hou
Drew Biber,43470,Cle,TE,NA,,N,Sun 1:00 pm vs Car
Jeff Weimer,43469,KC,WR,NA,,N,Sun 1:00 pm @ Mia
Roydell Williams,43466,Det,RB,NA,,N,Sun 1:00 pm vs NYJ
Zay Jones,30150,Hou,WR,NA,,N,Sun 1:00 pm @ Ind
