Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Rodney Hammond Jr.,43399,Den,RB,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,611",666,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordon Vaughn,43329,Ind,RB,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,578",638,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jackson Acker,43331,Buf,RB,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,592",639,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Lincoln Pare,43339,Ind,RB,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,603",642,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kentrel Bullock,43342,Cin,RB,NA,Sun 1:00 pm @ Pit,FA,-,6,0.00,"2,580",644,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jamal Haynes,43345,Cin,RB,NA,Sun 1:00 pm @ Pit,FA,-,6,0.00,"2,586",645,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Damon Bankston,43354,GB,RB,,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,542",648,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Myles Montgomery,43367,NE,RB,IR,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,533",652,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Julius Davis,43392,Den,RB,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,541",663,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Trent Howland,43406,Den,RB,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,566",671,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jaden Nixon,43265,GB,RB,NA,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,562",613,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Nubin,43417,Den,RB,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,573",676,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kadarius Calloway,43424,TB,RB,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,543",679,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Anderson Castle,43443,Ind,RB,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,616",690,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Miles Davis,43445,Car,RB,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,594",692,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Roydell Williams,43466,Det,RB,NA,Sun 1:00 pm vs NYJ,FA,-,6,0.00,"2,569",704,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Grant Finley,43473,NYG,RB,NA,Sun 1:00 pm vs Ten,FA,-,8,0.00,"2,593",709,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Justin Jones,43478,Sea,RB,NA,Sun 1:00 pm @ Was,FA,-,11,0.00,"2,546",711,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Barika Kpeenu,43482,TB,RB,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,601",712,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Elijah Tau-Tolliver,43268,Bal,RB,NA,Sun 4:25 pm @ Dal,FA,-,13,0.00,"2,539",615,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Chip Trayanum,43213,NYJ,RB,IR,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,572",598,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kejon Owens,42912,Min,RB,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,600","1,139",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joshua Pitsenberger,43098,Hou,RB,NA,Sun 1:00 pm @ Ind,FA,-,8,0.00,"2,598",530,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Gregory Desrosiers,42922,LAC,RB,NA,Sun 1:00 pm @ Buf,FA,-,7,0.00,"2,568","1,147",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Roman Hemby,42941,LV,RB,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,591","1,157",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Montrell Johnson Jr.,42173,Car,RB,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,588",861,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Robert Henry Jr.,42986,Was,RB,NA,Sun 1:00 pm vs Sea,FA,-,7,0.00,"2,608","1,182",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
