Player,Player ID,Team,Positions,Injury,Game,Roster Status,GP*,Bye,Fantasy Fan Pts,Rankings Pre-Season,Rankings Actual,Trends % Ros,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost
Marcus Sanders Jr.,42913,Min,WR,NA,Sun 4:05 pm @ TB,FA,-,6,0.00,"2,400","1,140",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Noah Short,42991,TB,WR,NA,Sun 4:05 pm vs Min,FA,-,10,0.00,"2,412","1,186",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Malik Rutherford,42998,Atl,WR,NA,Thu 8:15 pm @ GB,FA,-,11,0.00,"2,371","1,188",0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Malik McClain,43159,NYJ,WR,,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,462",571,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jaden Bradley,43092,Was,WR,NA,Sun 1:00 pm vs Sea,FA,-,7,0.00,"2,355",526,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
DT Sheffield,43158,NYJ,WR,NA,Sun 1:00 pm @ Det,FA,-,13,0.00,"2,361",570,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kyle Dixon,43155,NE,WR,NA,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,435",569,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Romello Brinson,43150,Dal,WR,NA,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,399",565,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Donaven McCulley,43147,Mia,WR,NA,Sun 1:00 pm vs KC,FA,-,6,0.00,"2,432",562,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
E.J. Williams Jr.,43129,Car,WR,NA,Sun 1:00 pm @ Cle,FA,-,5,0.00,"2,342",551,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Chase Roberts,43126,LV,WR,NA,Sun 4:25 pm @ NO,FA,-,13,0.00,"2,440",547,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Raylen Sharpe,43102,Ind,WR,NA,Sun 1:00 pm vs Hou,FA,-,13,0.00,"2,344",531,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Hank Beatty,43094,Ten,WR,NA,Sun 1:00 pm @ NYG,FA,-,9,0.00,"2,313",529,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
J. Michael Sturdivant,43085,GB,WR,,Thu 8:15 pm vs Atl,FA,-,11,0.00,"2,630",520,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Ja'Mori Maclin,43013,Buf,WR,NA,Sun 1:00 pm vs LAC,FA,-,7,0.00,"2,443",489,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Joseph Manjack,43076,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,382",516,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Cameron Ross,43069,Den,WR,NA,Sun 8:20 pm vs LAR,FA,-,10,0.00,"2,430",514,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kole Wilson,43066,Cle,WR,NA,Sun 1:00 pm vs Car,FA,-,11,0.00,"2,436",512,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Jordan Hudson,43061,Dal,WR,NA,Sun 4:25 pm vs Bal,FA,-,14,0.00,"2,479",510,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Aaron Anderson,43052,Cle,WR,NA,Sun 1:00 pm vs Car,FA,-,11,0.00,"2,383",505,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Noah Thomas,43033,Cin,WR,NA,Sun 1:00 pm @ Pit,FA,-,6,0.00,"2,439",497,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
Kobe Prentice,43022,NE,WR,NA,Sun 1:00 pm @ Jax,FA,-,11,0.00,"2,396",491,0%,-,-,-,-,-,-,-,-,-,-,-,-,-
