player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury,status_col,updated,depth_chart,source_file
Kye Robichaux,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,Foot,Q,Sep 16 3:36 AM,Det,game-day-calls.txt
Tyrell Shavers,WR,WR,Buf,P,Det,home,Thu 8:15 pm,Knee - ACL,PUP-R,Sep 16 3:36 AM,Buf,game-day-calls.txt
Jeremy McNichols,RB,RB,Was,IR-R,Dal,away,Sun 4:25 pm,Quadriceps,IR-R,Sep 16 3:36 AM,Was,game-day-calls.txt
Brian Thomas Jr.,WR,WR,Jax,Q,Den,away,Sun 4:05 pm,Shoulder,Q,Sep 16 3:36 AM,Jax,game-day-calls.txt
Brock Bowers,TE,TE,LV,Q,LAC,away,Sun 4:05 pm,Knee - Meniscus,Q,Sep 16 3:36 AM,LV,game-day-calls.txt
Gee Scott,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,NE,game-day-calls.txt
Dante Miller,RB,RB,NYG,NA,LAR,away,Mon 8:15 pm,Groin,Q,Sep 16 3:36 AM,NYG,game-day-calls.txt
Sean McKeon,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,Undisclosed,Q,Sep 16 3:36 AM,Ind,game-day-calls.txt
Princeton Fant,TE,TE,Dal,IR,Was,home,Sun 4:25 pm,Knee - ACL + MCL,IR,Sep 16 3:36 AM,Dal,game-day-calls.txt
Mario Williams,WR,WR,LAR,NA,NYG,home,Mon 8:15 pm,Undisclosed,Q,Sep 16 3:36 AM,LAR,game-day-calls.txt
Tyrone Broden,WR,WR,Sea,NA,Ari,away,Sun 4:25 pm,Undisclosed,Q,Sep 16 3:36 AM,Sea,game-day-calls.txt
Tim Patrick,WR,WR,NYJ,IR,GB,home,Sun 1:00 pm,Groin,IR,Sep 16 3:36 AM,NYJ,game-day-calls.txt
George Kittle,TE,TE,SF,Q,Mia,home,Sun 4:25 pm,Achilles,Q,Sep 16 3:36 AM,SF,game-day-calls.txt
Julian Hill,TE,TE,NE,IR,Pit,home,Sun 1:00 pm,Knee,IR,Sep 16 3:36 AM,NE,game-day-calls.txt
Ben Sauls,K,K,NYG,NA,LAR,away,Mon 8:15 pm,Undisclosed,Q,Sep 16 3:36 AM,NYG,game-day-calls.txt
Anthony Firkser,TE,TE,Det,NA,Buf,away,Thu 8:15 pm,Leg,Q,Sep 16 3:36 AM,Det,game-day-calls.txt
Bryce Ford-Wheaton,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,Achilles,Q,Sep 16 3:36 AM,NYG,game-day-calls.txt
Le'Meke Brockington,WR,WR,Atl,NA,Car,home,Sun 1:00 pm,Undisclosed,Q,Sep 16 3:36 AM,Atl,game-day-calls.txt
