player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,injury_type,depth_chart,source_file
Teagan Quitoriano,TE,TE,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Ben Patterson,WR,WR,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Mason Shipley,K,K,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Jerome Ford,RB,RB,Was,NA,Dal,away,Sun 4:25 pm,,Was,injury-report.txt
Montrell Washington,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Trebor Pena,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Roman Hemby,RB,RB,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
James Mitchell,TE,TE,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
John FitzPatrick,TE,TE,GB,NA,NYJ,away,Sun 1:00 pm,Achilles,GB,injury-report.txt
CJ Donaldson,RB,RB,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Luke Wysong,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Min,injury-report.txt
Jerand Bradley,TE,TE,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Keaontay Ingram,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Michael Woods II,WR,WR,Den,NA,Jax,home,Sun 4:05 pm,Leg,Den,injury-report.txt
Devonte Ross,WR,WR,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Miller Moss,QB,QB,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Kendric Pryor,WR,WR,Cin,NA,Hou,away,Sun 1:00 pm,,Cin,injury-report.txt
Cedric Tillman,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Dae'Quan Wright,TE,TE,Cle,NA,TB,away,Sun 1:00 pm,,Cle,injury-report.txt
Jaydn Ott,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Erik Ezukanma,WR,WR,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Cade York,K,K,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Sawyer Robertson,QB,QB,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Le'Veon Moss,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,Undisclosed,Mia,injury-report.txt
Michael Trigg,TE,TE,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Chandler Morris,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Lucas Havrisik,K,K,GB,NA,NYJ,away,Sun 1:00 pm,,GB,injury-report.txt
Zamir White,RB,RB,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
J'Mari Taylor,RB,RB,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Cash Jones,RB,RB,Atl,NA,Car,home,Sun 1:00 pm,,Atl,injury-report.txt
Will Levis,QB,QB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Jam Miller,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,NE,injury-report.txt
Michael Wortham,WR,WR,Jax,NA,Den,away,Sun 4:05 pm,,Jax,injury-report.txt
Tyren Montgomery,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Maurice Alexander,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Zaire Mitchell-Paden,TE,TE,Hou,NA,Cin,home,Sun 1:00 pm,,Hou,injury-report.txt
Ethan Conner,TE,TE,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Tanner Conner,TE,TE,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
Deven Thompkins,WR,WR,LV,NA,LAC,away,Sun 4:05 pm,,LV,injury-report.txt
Sincere McCormick,RB,RB,SF,NA,Mia,home,Sun 4:25 pm,,SF,injury-report.txt
Kaden Davis,WR,WR,Chi,NA,Min,home,Sun 1:00 pm,,Chi,injury-report.txt
Brandon Johnson,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Jalen Virgil,WR,WR,Ari,NA,Sea,home,Sun 4:25 pm,Undisclosed,Ari,injury-report.txt
Dennis Houston,WR,WR,TB,NA,Cle,home,Sun 1:00 pm,Groin,TB,injury-report.txt
Jashaun Corbin,RB,RB,Dal,NA,Was,home,Sun 4:25 pm,,Dal,injury-report.txt
Raheem Blackshear,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,Undisclosed,Det,injury-report.txt
Tucker Fisk,TE,TE,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Stone Smartt,TE,TE,NO,NA,Bal,away,Sun 1:00 pm,,NO,injury-report.txt
Lucas Krull,TE,TE,Den,NA,Jax,home,Sun 4:05 pm,,Den,injury-report.txt
Pierre Strong Jr.,RB,RB,GB,NA,NYJ,away,Sun 1:00 pm,Hamstring,GB,injury-report.txt
Luke Altmyer,QB,QB,Det,NA,Buf,away,Thu 8:15 pm,,Det,injury-report.txt
Elijah Mitchell,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,Undisclosed,KC,injury-report.txt
Mitch Van Vooren,TE,TE,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Damien Alford,WR,WR,NO,NA,Bal,away,Sun 1:00 pm,Undisclosed,NO,injury-report.txt
Eli Pancol,WR,WR,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Jarquez Hunter,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Anthony Tyus III,RB,RB,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Jamaal Pritchett,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Jaydon Blue,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,,Phi,injury-report.txt
Donovan Edwards,RB,RB,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Quentin Skinner,WR,WR,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Ja'Quinden Jackson,RB,RB,Phi,NA,Ten,away,Sun 1:00 pm,Undisclosed,Phi,injury-report.txt
Caden Prieskorn,TE,TE,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Cam Miller,QB,QB,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Cam Camper,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,,NYJ,injury-report.txt
Chandler Brayboy,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Seth Henigan,QB,QB,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Devin Neal,RB,RB,NO,NA,Bal,away,Sun 1:00 pm,Hamstring,NO,injury-report.txt
Patrick Herbert,TE,TE,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Da'Quan Felton,WR,WR,NYJ,NA,GB,home,Sun 1:00 pm,Undisclosed,NYJ,injury-report.txt
Amar Johnson,RB,RB,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Kye Robichaux,RB,RB,Det,NA,Buf,away,Thu 8:15 pm,Foot,Det,injury-report.txt
Dalen Cambre,WR,WR,NYG,NA,LAR,away,Mon 8:15 pm,,NYG,injury-report.txt
CJ Dippre,TE,TE,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Tyrone Broden,WR,WR,Sea,NA,Ari,away,Sun 4:25 pm,Undisclosed,Sea,injury-report.txt
Xavier Guillory,WR,WR,Bal,NA,NO,home,Sun 1:00 pm,,Bal,injury-report.txt
Jordan Waters,RB,RB,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Mario Williams,WR,WR,LAR,NA,NYG,home,Mon 8:15 pm,Undisclosed,LAR,injury-report.txt
Brennan Presley,WR,WR,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Tru Edwards,WR,WR,LAR,NA,NYG,home,Mon 8:15 pm,,LAR,injury-report.txt
Brock Lampe,RB,RB,Buf,NA,Det,home,Thu 8:15 pm,,Buf,injury-report.txt
Gee Scott,WR,WR,NE,NA,Pit,home,Sun 1:00 pm,Undisclosed,NE,injury-report.txt
Jakobie Keeney-James,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Lan Larison,RB,RB,NE,NA,Pit,home,Sun 1:00 pm,,NE,injury-report.txt
Roc Taylor,WR,WR,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
JJ Galbreath,TE,TE,Ind,NA,KC,away,Sun 8:20 pm,,Ind,injury-report.txt
Bryce Pierre,TE,TE,Car,NA,Atl,away,Sun 1:00 pm,,Car,injury-report.txt
Tre Stewart,RB,RB,Ari,NA,Sea,home,Sun 4:25 pm,,Ari,injury-report.txt
Bryson Nesbit,TE,TE,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Min,injury-report.txt
Dontae Fleming,WR,WR,Min,NA,Chi,away,Sun 1:00 pm,Undisclosed,Min,injury-report.txt
Kalel Mullings,RB,RB,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Nate Carter,RB,RB,KC,NA,Ind,home,Sun 8:20 pm,,KC,injury-report.txt
Jacardia Wright,RB,RB,Sea,NA,Ari,away,Sun 4:25 pm,,Sea,injury-report.txt
Will Sheppard,WR,WR,Mia,NA,SF,away,Sun 4:25 pm,,Mia,injury-report.txt
Courtney Jackson,WR,WR,Ten,NA,Phi,home,Sun 1:00 pm,,Ten,injury-report.txt
Joaquin Davis,WR,WR,Pit,NA,NE,away,Sun 1:00 pm,,Pit,injury-report.txt
Max Brosmer,QB,QB,Min,NA,Chi,away,Sun 1:00 pm,,Min,injury-report.txt
DJ Uiagalelei,QB,QB,LAC,NA,LV,home,Sun 4:05 pm,,LAC,injury-report.txt
Connor Bazelak,QB,QB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
Josh Williams,RB,RB,TB,NA,Cle,home,Sun 1:00 pm,,TB,injury-report.txt
