player,pos,pos_eligible,nfl_team,status,opponent,home_away,kickoff,roster_status,gp,bye,fan_pts,rank_preseason,rank_actual,pct_rostered,pass_yds,pass_td,pass_int,rush_att,rush_yds,rush_td,tgt,rec,rec_yds,rec_td,ret_td,two_pt,fum_lost,source_file
Ja'Kobi Lane,WR,WR,Bal,IR,NO,home,Sun 1:00 pm,FA,1,13,1.60,161,293,15,0,0,0,0,0,0,3,1,11,0,0,0,0,wr.txt
Travis Hunter,WR,WR,Jax,,Den,away,Sun 4:05 pm,FA,1,7,1.60,187,291,14,0,0,0,1,3,0,1,1,8,0,0,0,0,wr.txt
Bo Melton,WR,WR,GB,,NYJ,away,Sun 1:00 pm,FA,1,11,1.50,2695,296,0,0,0,0,0,0,0,1,1,10,0,0,0,0,wr.txt
Jonathan Mingo,WR,WR,Dal,,Was,home,Sun 4:25 pm,FA,1,14,1.50,2748,295,0,0,0,0,0,0,0,1,1,10,0,0,0,0,wr.txt
KaVontae Turpin,WR,WR,Dal,,Was,home,Sun 4:25 pm,FA,1,14,1.30,2085,303,4,0,0,0,0,0,0,1,1,8,0,0,0,0,wr.txt
Jordan Whittington,WR,WR,LAR,,NYG,home,Mon 8:15 pm,FA,1,11,1.30,2675,302,0,0,0,0,0,0,0,1,1,8,0,0,0,0,wr.txt
Isaiah Williams,WR,WR,NYJ,,GB,home,Sun 1:00 pm,FA,1,13,1.20,2631,304,0,0,0,0,0,0,0,1,1,7,0,0,0,0,wr.txt
Olamide Zaccheaus,WR,WR,Atl,,Car,home,Sun 1:00 pm,FA,1,11,1.00,2091,312,0,0,0,0,0,0,0,1,1,5,0,0,0,0,wr.txt
Makai Lemon,WR,WR,Phi,,Ten,away,Sun 1:00 pm,W (Sep 19),1,10,1.00,102,313,67,0,0,0,0,0,0,4,3,-5,0,0,0,0,wr.txt
Rashid Shaheed,WR,WR,Sea,,Ari,away,Sun 4:25 pm,Maybe Mitchell,1,11,0.90,132,321,44,0,0,0,0,0,0,3,1,4,0,0,0,0,wr.txt
Jaylin Lane,WR,WR,Was,Q,Dal,away,Sun 4:25 pm,FA,1,7,0.90,2512,319,0,0,0,0,0,0,0,1,1,4,0,0,0,0,wr.txt
Jaylen Waddle,WR,WR,Den,,Jax,home,Sun 4:05 pm,Owl Out Blitz,1,10,0.70,33,323,99,0,0,0,0,0,0,3,1,2,0,0,0,0,wr.txt
Keon Coleman,WR,WR,Buf,,Det,home,Thu 8:15 pm,FA,1,7,0.60,275,329,2,0,0,0,0,0,0,1,1,1,0,0,0,0,wr.txt
Troy Franklin,WR,WR,Den,,Jax,home,Sun 4:05 pm,FA,1,10,0.50,299,331,1,0,0,0,1,5,0,1,0,0,0,0,0,0,wr.txt
Malik Benson,WR,WR,LV,,LAC,away,Sun 4:05 pm,FA,1,13,0.30,296,339,0,0,0,0,1,-8,0,2,1,6,0,0,0,0,wr.txt
