"key","player","pos","nfl_team","pct_rostered","fan_pts","gsis_id","player.nfl","pos.nfl","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"braelon allen","Braelon Allen","RB","NYJ",15,4,"00-0039794","Braelon Allen","RB","NYJ",2,17,8.5,2,15,0.0356280193236715,0.220797720797721,0.355,12,6,55,1,-5,0.705882352941177,0.579439252336449,1.12337011033099,"-"
"ameer abdullah","Ameer Abdullah","RB","Jax",0,3.7,"00-0032104","Ameer Abdullah","RB","JAX",2,9,4.5,2,7,0.0428571428571429,0.127016129032258,0.095,5.5,2.75,45,0,-1,0.611111111111111,0.401869158878505,0.972547271443962,"-"
"tyjae spears","Tyjae Spears","RB","Ten",37,3.4,"00-0039032","Tyjae Spears","RB","TEN",2,16,8,6,10,0.130252100840336,0.227832512315271,0.43,11.4,5.7,94,0,2,0.7125,0.560747663551402,1.13390170511535,"-"
"justice hill","Justice Hill","RB","Bal",3,3.3,"00-0034975","Justice Hill","RB","BAL",2,11,5.5,3,8,0.055316091954023,0.126535626535627,0.465,6.1,3.05,46,0,-3,0.554545454545455,0.429906542056075,0.882526366979727,"-"
"brian robinson","Brian Robinson","RB","Atl",25,3.1,"00-0037746","Brian Robinson","RB","ATL",2,22,11,2,20,0.032258064516129,0.317036290322581,NA,10.8,5.4,98,0,4,0.490909090909091,0.607476635514019,0.781252849457463,"-"
"brady russell","Brady Russell","RB","Sea",0,3,"00-0038488","Brady Russell","RB","SEA",1,2,2,2,0,0.0833333333333333,0,0.34,3,3,20,0,NA,1.5,0.214953271028037,2.38716148445336,"FADE points on no volume"
"chris brooks","Chris Brooks","RB","GB",3,2.9,"00-0038685","Chris Brooks","RB","GB",2,14,7,3,11,0.0469827586206897,0.277777777777778,0.51,6,3,55,0,-2,0.428571428571429,0.514018691588785,0.682046138415246,"-"
"george holani","George Holani","RB","Sea",5,2.9,"00-0039299","George Holani","RB","SEA",2,14,7,2,12,0.0400641025641026,0.231818181818182,0.36,4.9,2.45,44,0,-4,0.35,0.514018691588785,0.557004346372451,"-"
"ronnie rivers","Ronnie Rivers","RB","LAR",0,2.9,"00-0037557","Ronnie Rivers","RB","LA",1,6,6,1,5,0.037037037037037,0.172413793103448,0.13,2.9,2.9,24,0,NA,0.483333333333333,0.457943925233645,0.769196478323861,"-"
"aj dillon","AJ Dillon","RB","Car",0,2.8,"00-0036265","AJ Dillon","RB","CAR",2,8,4,0,8,0,0.181818181818182,0.08,2.5,1.25,25,0,-2,0.3125,0.336448598130841,0.497325309261117,"-"
"sione vaki","Sione Vaki","RB","Det",0,2.3,"00-0039364","Sione Vaki","RB","DET",2,5,2.5,2,3,0.0259784075573549,0.0553030303030303,0.23,4.8,2.4,38,0,-1,0.96,0.280373831775701,1.52778335005015,"FADE points on no volume"
"chris rodriguez","Chris Rodriguez Jr.","RB","Jax",57,2.3,"00-0038611","Chris Rodriguez Jr.","RB","JAX",2,12,6,0,12,0,0.221774193548387,NA,3.6,1.8,36,0,0,0.3,0.457943925233645,0.477432296890672,"-"
"lan larison","Lan Larison","RB","NE",0,1.9,"00-0040568","Lan Larison","RB","NE",1,2,2,2,0,0.0645161290322581,0,0.04,1.9,1.9,9,0,NA,0.95,0.214953271028037,1.51186894015379,"FADE points on no volume"
"will shipley","Will Shipley","RB","Phi",0,1.7,"00-0039746","Will Shipley","RB","PHI",2,12,6,3,9,0.0521390374331551,0.149375,0.345,5.6,2.8,41,0,6,0.466666666666667,0.457943925233645,0.742672461829934,"-"
"kaytron allen","Kaytron Allen","RB","Was",2,1.6,"00-0041096","Kaytron Allen","RB","WAS",2,9,4.5,0,9,0,0.140625,0.09,4,2,40,0,1,0.444444444444444,0.401869158878505,0.707307106504699,"-"
