"gsis_id","player","pos","team","g","opp_tot","opp_pg","tgt_tot","car_tot","tgt_share","car_share","snap_pct","fp_tot","fp_pg","yds","td","opp_trend","fp_per_opp","opp_pctl","eff_rel","profile"
"00-0036894","Pat Freiermuth","TE","PIT",2,11,5.5,10,1,0.135135135135135,0.0217391304347826,0.695,18.5,9.25,80,1,1,1.68181818181818,0.868131868131868,1.16792929292929,"hold volume + results"
"00-0037238","Drake London","WR","ATL",2,11,5.5,9,2,0.185908319185059,0.0317540322580645,0.8,11.4,5.7,84,0,1,1.03636363636364,0.723529411764706,0.839263803680982,"-"
"00-0038129","Cade Otton","TE","TB",2,11,5.5,11,0,0.183501683501683,0,0.935,10.4,5.2,64,0,1,0.945454545454545,0.868131868131868,0.656565656565657,"BUY  volume, results lagging"
"00-0038563","Tre Tucker","WR","LV",2,11,5.5,11,0,0.189655172413793,0,0.65,24.1,12.05,146,1,3,2.19090909090909,0.723529411764706,1.77423312883436,"-"
"00-0039066","Michael Mayer","TE","LV",2,11,5.5,11,0,0.189655172413793,0,0.825,10,5,55,0,-3,0.909090909090909,0.868131868131868,0.631313131313131,"BUY  volume, results lagging"
"00-0039851","Drake Maye","QB","NE",2,11,5.5,0,11,0,0.184331797235023,1,21.84,10.92,64,0,-3,1.98545454545455,0.785714285714286,0.5424739195231,"-"
"00-0039893","Brian Thomas Jr.","WR","JAX",2,11,5.5,11,0,0.217857142857143,0,NA,11,5.5,80,0,5,1,0.723529411764706,0.809815950920245,"-"
"00-0040691","Jaxson Dart","QB","NYG",2,11,5.5,0,11,0,0.148648648648649,0.56,27.4,13.7,54,0,-11,2.49090909090909,0.785714285714286,0.680576254346746,"-"
"00-0040878","Mike Washington Jr.","RB","LV",2,11,5.5,1,10,0.0172413793103448,0.150793650793651,0.19,4.8,2.4,48,0,-3,0.436363636363636,0.429906542056075,0.694446977295523,"-"
"00-0041037","Denzel Boston","WR","CLE",2,11,5.5,11,0,0.207575757575758,0,0.925,30.9,15.45,154,2,3,2.80909090909091,0.723529411764706,2.27484662576687,"-"
"00-0041438","Carnell Tate","WR","TEN",2,11,5.5,11,0,0.254201680672269,0,0.815,10,5,65,0,-1,0.909090909090909,0.723529411764706,0.736196319018405,"-"
"00-0031408","Mike Evans","WR","SF",2,10,5,10,0,0.185007974481659,0,0.645,20.8,10.4,103,1,-4,2.08,0.670588235294118,1.68441717791411,"-"
"00-0036550","Rashod Bateman","WR","BAL",2,10,5,10,0,0.176005747126437,0,0.855,18.3,9.15,88,1,8,1.83,0.670588235294118,1.48196319018405,"-"
"00-0037545","Rashid Shaheed","WR","SEA",2,10,5,9,1,0.177884615384615,0.0125,0.61,6.3,3.15,43,0,4,0.63,0.670588235294118,0.510184049079755,"-"
"00-0038393","Dontayvion Wicks","WR","PHI",2,10,5,10,0,0.179144385026738,0,0.765,24.2,12.1,147,1,2,2.42,0.670588235294118,1.95975460122699,"-"
"00-0038454","Keaton Mitchell","RB","LAC",2,10,5,1,9,0.0192307692307692,0.173363095238095,0.28,5.3,2.65,48,0,2,0.53,0.420560747663551,0.843463724506854,"-"
"00-0039410","Ryan Flournoy","WR","DAL",2,10,5,10,0,0.163440860215054,0,0.735,8,4,45,0,2,0.8,0.670588235294118,0.647852760736196,"-"
"00-0039915","Ladd McConkey","WR","LAC",2,10,5,10,0,0.187321937321937,0,0.475,21.7,10.85,117,1,-4,2.17,0.670588235294118,1.75730061349693,"-"
"00-0040737","Terrance Ferguson","TE","LA",2,10,5,10,0,0.168518518518519,0,0.545,14.4,7.2,54,1,8,1.44,0.857142857142857,1,"hold volume + results"
"00-0041042","Malachi Fields","WR","NYG",2,10,5,10,0,0.162715517241379,0,0.765,7.5,3.75,55,0,2,0.75,0.670588235294118,0.607361963190184,"-"
"00-0041048","Ted Hurst III","WR","TB",2,10,5,10,0,0.161616161616162,0,NA,8.8,4.4,63,0,4,0.88,0.670588235294118,0.712638036809816,"-"
"00-0041523","Caleb Douglas","WR","MIA",2,10,5,10,0,0.194847020933977,0,0.885,14.8,7.4,113,0,-4,1.48,0.670588235294118,1.19852760736196,"-"
"00-0029604","Kirk Cousins","QB","LV",2,9,4.5,0,9,0,0.140873015873016,1,37.02,18.51,-5,0,-1,4.11333333333333,0.714285714285714,1.12386156648452,"-"
